ask,bid,change,contract_name,expiration,implied_volatility,last_trade,open_interest,option_type,perc_change,strike,volume
4.35,4.32,4.65,GRPN200918C00023000,"September 18, 2020",8,2020-08-07 3:36PM EDT,1,call,-1.33,23.00,-23.54%
3.75,3.99,4.10,GRPN200918C00024000,"September 18, 2020",17,2020-08-07 1:43PM EDT,9,call,+0.59,24.00,+17.35%
3.20,4.25,3.60,GRPN200918C00025000,"September 18, 2020",55,2020-08-10 9:42AM EDT,26,call,+0.08,25.00,+1.92%
2.72,3.11,3.10,GRPN200918C00026000,"September 18, 2020",47,2020-08-10 10:01AM EDT,2,call,-0.79,26.00,-20.26%
2.35,2.50,2.84,GRPN200918C00027000,"September 18, 2020",73,2020-08-10 10:28AM EDT,24,call,-1.00,27.00,-28.57%
1.99,2.39,2.40,GRPN200918C00028000,"September 18, 2020",12,2020-08-10 11:04AM EDT,4,call,-0.86,28.00,-26.46%
0.00,0.72,0.00,GRPN210115C00001000,"January 15, 2021",0,2020-06-10 3:53PM EDT,116,call,0.00,1.00,-
0.00,0.48,0.00,GRPN210115C00001500,"January 15, 2021",0,2020-06-10 3:36PM EDT,476,call,0.00,1.50,-
0.00,0.36,0.00,GRPN210115C00002000,"January 15, 2021",0,2020-06-10 3:50PM EDT,946,call,0.00,2.00,-
0.00,0.25,0.00,GRPN210115C00002500,"January 15, 2021",0,2020-06-10 3:28PM EDT,56,call,0.00,2.50,-
21.85,12.10,22.80,GRPN210115C00003000,"January 15, 2021",20,2020-07-31 12:57PM EDT,6,call,0.00,3.00,-
0.00,0.10,0.00,GRPN210115C00003500,"January 15, 2021",0,2020-06-10 1:33PM EDT,75,call,0.00,3.50,-
0.00,0.07,0.00,GRPN210115C00004000,"January 15, 2021",0,2020-06-10 3:28PM EDT,313,call,0.00,4.00,-
0.00,0.07,0.00,GRPN210115C00004500,"January 15, 2021",0,2020-06-10 3:28PM EDT,2,call,0.00,4.50,-
0.00,0.06,0.00,GRPN210115C00005000,"January 15, 2021",0,2020-06-10 3:29PM EDT,177,call,0.00,5.00,-
5.95,1.18,6.75,GRPN200911C00020000,"September 11, 2020",5,2020-08-06 3:32PM EDT,-,call,0.00,20.00,-
4.55,4.75,5.35,GRPN200911C00022000,"September 11, 2020",38,2020-08-10 10:10AM EDT,31,call,-1.20,22.00,-20.17%
4.10,4.50,4.80,GRPN200911C00023000,"September 11, 2020",5,2020-08-07 12:07PM EDT,1,call,+0.80,23.00,+21.62%
3.50,3.65,4.15,GRPN200911C00024000,"September 11, 2020",5,2020-08-10 10:15AM EDT,11,call,-0.91,24.00,-19.96%
3.20,3.40,3.65,GRPN200911C00025000,"September 11, 2020",9,2020-08-10 9:32AM EDT,4,call,-0.65,25.00,-16.05%
2.56,3.35,3.15,GRPN200911C00026000,"September 11, 2020",25,2020-08-10 9:42AM EDT,13,call,-0.50,26.00,-12.99%
12.05,10.10,14.45,GRPN220121C00018000,"January 21, 2022",13,2020-08-07 9:52AM EDT,2,call,0.00,18.00,-
11.35,13.22,13.55,GRPN220121C00020000,"January 21, 2022",352,2020-08-07 3:46PM EDT,31,call,0.00,20.00,-
11.15,12.56,12.85,GRPN220121C00022000,"January 21, 2022",7,2020-08-07 2:17PM EDT,6,call,0.00,22.00,-
10.30,11.52,12.05,GRPN220121C00025000,"January 21, 2022",914,2020-08-07 3:29PM EDT,47,call,0.00,25.00,-
9.60,12.00,11.45,GRPN220121C00027000,"January 21, 2022",30,2020-08-07 3:13PM EDT,10,call,0.00,27.00,-
8.25,10.00,10.50,GRPN220121C00030000,"January 21, 2022",321,2020-08-07 3:26PM EDT,106,call,0.00,30.00,-
2.96,13.00,6.05,GRPN220121C00032000,"January 21, 2022",4,2020-06-16 1:54PM EDT,-,call,0.00,32.00,-
6.30,3.40,9.35,GRPN220121C00035000,"January 21, 2022",789,2020-08-06 3:49PM EDT,2,call,0.00,35.00,-
1.35,1.60,1.86,GRPN200904P00022000,"September 4, 2020",40,2020-08-10 10:19AM EDT,8,put,-0.40,22.00,-20.00%
1.78,2.57,2.24,GRPN200904P00023000,"September 4, 2020",3,2020-08-07 3:40PM EDT,9,put,0.00,23.00,-
2.07,2.65,2.70,GRPN200904P00024000,"September 4, 2020",7,2020-08-10 9:44AM EDT,1,put,-0.22,24.00,-7.67%
2.70,3.20,3.20,GRPN200904P00025000,"September 4, 2020",13,2020-08-10 10:06AM EDT,21,put,-0.25,25.00,-7.25%
3.15,3.64,3.70,GRPN200904P00026000,"September 4, 2020",13,2020-08-07 3:52PM EDT,1,put,-0.61,26.00,-14.35%
3.85,4.55,4.40,GRPN200904P00027000,"September 4, 2020",5,2020-08-10 10:07AM EDT,2,put,+0.45,27.00,+10.98%
5.15,5.65,5.85,GRPN200904P00029000,"September 4, 2020",1,2020-08-10 10:51AM EDT,1,put,+0.10,29.00,+1.80%
0.01,0.13,0.15,GRPN201016P00005000,"October 16, 2020",101,2020-08-07 9:30AM EDT,100,put,0.00,5.00,-
0.00,0.39,0.74,GRPN201016P00010000,"October 16, 2020",116,2020-08-10 9:30AM EDT,1,put,+0.17,10.00,+77.27%
0.24,0.77,0.65,GRPN201016P00013000,"October 16, 2020",116,2020-08-10 9:30AM EDT,5,put,+0.11,13.00,+16.67%
0.51,0.70,0.90,GRPN201016P00015000,"October 16, 2020",77,2020-08-10 11:02AM EDT,5,put,-1.73,15.00,-71.19%
0.42,1.16,1.01,GRPN201016P00016000,"October 16, 2020",5,2020-08-07 3:39PM EDT,4,put,0.00,16.00,-
0.81,1.40,1.24,GRPN201016P00017000,"October 16, 2020",4,2020-08-07 10:07AM EDT,4,put,0.00,17.00,-
0.86,1.43,1.55,GRPN201016P00018000,"October 16, 2020",51,2020-08-07 2:05PM EDT,4,put,0.00,18.00,-
1.20,1.80,1.78,GRPN201016P00019000,"October 16, 2020",88,2020-08-07 3:59PM EDT,30,put,0.00,19.00,-
14.15,16.70,17.50,GRPN200814C00009000,"August 14, 2020",1,2020-08-07 2:18PM EDT,1,call,0.00,9.00,-
1.57,1.72,1.80,GRPN200918C00030000,"September 18, 2020",97,2020-08-10 9:31AM EDT,52,call,-0.78,30.00,-31.20%
0.89,0.94,1.20,GRPN200918C00035000,"September 18, 2020",656,2020-08-10 11:37AM EDT,167,call,-0.71,35.00,-43.03%
0.00,0.14,0.49,GRPN200918P00005000,"September 18, 2020",1,2020-07-08 9:33AM EDT,-,put,0.00,5.00,-
0.00,0.11,0.31,GRPN200918P00006000,"September 18, 2020",90,2020-08-06 3:28PM EDT,1,put,-0.07,6.00,-38.89%
0.00,0.25,0.42,GRPN200918P00010000,"September 18, 2020",275,2020-08-06 3:28PM EDT,271,put,0.00,10.00,-
0.00,0.50,0.46,GRPN200918P00011000,"September 18, 2020",10,2020-08-04 10:14AM EDT,-,put,0.00,11.00,-
0.00,0.05,0.00,GRPN210115C00005500,"January 15, 2021",0,2020-06-10 3:47PM EDT,32,call,0.00,5.50,-
0.00,0.08,0.00,GRPN210115C00007000,"January 15, 2021",0,2020-06-10 10:40AM EDT,6,call,0.00,7.00,-
15.05,15.50,16.60,GRPN210115C00010000,"January 15, 2021",12,2020-08-10 9:32AM EDT,7,call,+1.50,10.00,+10.71%
12.55,10.10,13.95,GRPN210115C00013000,"January 15, 2021",1,2020-08-07 9:31AM EDT,2,call,0.00,13.00,-
11.30,12.35,12.30,GRPN210115C00015000,"January 15, 2021",15,2020-08-07 2:06PM EDT,30,call,0.00,15.00,-
10.55,11.40,11.55,GRPN210115C00016000,"January 15, 2021",4,2020-08-10 11:43AM EDT,20,call,+0.10,16.00,+0.88%
9.95,10.00,10.90,GRPN210115C00017000,"January 15, 2021",12,2020-08-07 10:46AM EDT,6,call,0.00,17.00,-
9.30,10.60,10.25,GRPN210115C00018000,"January 15, 2021",10,2020-08-07 2:10PM EDT,21,call,0.00,18.00,-
8.35,7.55,9.10,GRPN210115C00020000,"January 15, 2021",13,2020-08-07 11:13AM EDT,8,call,0.00,20.00,-
2.21,2.30,2.74,GRPN200911C00027000,"September 11, 2020",2,2020-08-07 10:14AM EDT,2,call,+0.60,27.00,+35.29%
1.56,2.73,2.24,GRPN200911C00028000,"September 11, 2020",3,2020-08-10 9:31AM EDT,1,call,+0.63,28.00,+30.00%
1.53,1.97,2.11,GRPN200911C00029000,"September 11, 2020",35,2020-08-07 3:15PM EDT,4,call,-0.58,29.00,-22.75%
1.39,1.32,1.86,GRPN200911C00030000,"September 11, 2020",24,2020-08-10 9:31AM EDT,16,call,-0.91,30.00,-40.81%
0.95,1.00,1.67,GRPN200911C00031000,"September 11, 2020",8,2020-08-10 9:30AM EDT,1,call,-0.77,31.00,-43.50%
0.74,1.37,1.64,GRPN200911C00032000,"September 11, 2020",2,2020-08-10 10:11AM EDT,1,call,+0.61,32.00,+80.26%
0.91,0.93,1.18,GRPN200911C00033000,"September 11, 2020",30,2020-08-10 9:36AM EDT,9,call,-0.73,33.00,-43.98%
0.00,0.30,0.99,GRPN200911P00012500,"September 11, 2020",4,2020-08-07 3:44PM EDT,4,put,0.00,12.50,-
0.04,1.21,1.02,GRPN200911P00013500,"September 11, 2020",15,2020-08-03 3:17PM EDT,15,put,0.00,13.50,-
5.40,7.85,8.30,GRPN220121C00040000,"January 21, 2022",178,2020-08-07 3:46PM EDT,1,call,+0.61,40.00,+8.43%
0.00,0.14,0.00,GRPN220121P00000500,"January 21, 2022",0,2020-06-10 3:33PM EDT,14,put,0.00,0.50,-
0.00,0.46,0.00,GRPN220121P00001000,"January 21, 2022",0,2020-06-10 11:48AM EDT,6,put,0.00,1.00,-
0.00,0.80,0.00,GRPN220121P00001500,"January 21, 2022",0,2020-06-10 11:50AM EDT,4,put,0.00,1.50,-
0.00,1.16,0.00,GRPN220121P00002000,"January 21, 2022",0,2020-06-10 11:52AM EDT,6,put,0.00,2.00,-
0.00,1.59,0.00,GRPN220121P00002500,"January 21, 2022",0,2020-06-10 11:54AM EDT,4,put,0.00,2.50,-
0.25,0.25,0.74,GRPN220121P00003000,"January 21, 2022",4,2020-08-10 11:35AM EDT,15,put,-0.44,3.00,-63.77%
1.59,1.59,2.12,GRPN201016P00020000,"October 16, 2020",67,2020-08-10 11:04AM EDT,5,put,-0.54,20.00,-25.35%
1.93,2.48,2.38,GRPN201016P00021000,"October 16, 2020",78,2020-08-07 3:52PM EDT,83,put,0.00,21.00,-
2.23,2.75,2.80,GRPN201016P00022000,"October 16, 2020",27,2020-08-07 2:55PM EDT,28,put,0.00,22.00,-
