ask,bid,change,contract_name,expiration,implied_volatility,last_trade,open_interest,perc_change,strike,volume
0.00,11.15,0.00,,"June 18, 2021",0,2020-08-07 3:08PM EDT,22,,,
0.00,9.24,0.00,,"June 18, 2021",0,2020-08-07 3:44PM EDT,161,,,
0.00,7.70,0.00,,"June 18, 2021",0,2020-08-07 3:53PM EDT,67,,,
0.00,108.65,0.00,,"June 17, 2022",0,2020-07-22 3:47PM EDT,1,,,
0.00,99.75,0.00,,"June 17, 2022",0,2020-07-14 2:51PM EDT,1,,,
0.00,100.90,0.00,,"June 17, 2022",0,2020-08-06 11:50AM EDT,1,,,
84.50,81.89,88.25,,"June 17, 2022",29,2020-06-24 12:11PM EDT,3,,,
0.00,87.19,0.00,,"June 17, 2022",0,2020-07-20 10:41AM EDT,2,,,
0.00,88.02,0.00,,"June 17, 2022",0,2020-08-04 3:47PM EDT,2,,,
0.00,59.02,0.00,,"September 17, 2021",0,2020-07-24 12:23PM EDT,1,,,
0.00,63.98,0.00,,"September 17, 2021",0,2020-08-04 2:33PM EDT,2,,,
0.00,62.95,0.00,,"September 17, 2021",0,2020-08-07 11:55AM EDT,50,,,
0.00,59.19,0.00,,"September 17, 2021",0,2020-08-07 12:26PM EDT,1,,,
0.00,57.15,0.00,,"September 17, 2021",0,2020-08-07 9:52AM EDT,1,,,
0.00,114.50,0.00,,"January 21, 2022",0,2020-08-07 12:22PM EDT,6,,,
0.00,111.30,0.00,,"January 21, 2022",0,2020-08-06 2:59PM EDT,3,,,
0.00,105.98,0.00,,"January 21, 2022",0,2020-08-03 3:15PM EDT,2,,,
74.00,73.40,77.70,,"March 18, 2022",16,2020-07-06 1:29PM EDT,1,,,
0.00,74.75,0.00,,"March 18, 2022",0,2020-08-06 3:05PM EDT,4,,,
0.00,0.25,0.00,,"August 14, 2020",0,2020-08-07 3:59PM EDT,"1,098",,,
0.00,0.21,0.00,,"August 14, 2020",0,2020-08-07 3:58PM EDT,"1,387",,,
0.00,101.14,0.00,,"September 16, 2022",0,2020-08-03 9:58AM EDT,3,,,
0.00,6.25,0.00,,"June 18, 2021",0,2020-08-07 9:58AM EDT,1,,,
