ask,bid,change,contract_name,expiration,implied_volatility,last_trade,open_interest,option_type,perc_change,strike,volume
8.00,7.40,8.65,MSFT200925P00202500,"September 25, 2020",17,2020-08-10 9:50AM EDT,8,put,+0.47,202.50,+6.78%
9.20,9.32,9.65,MSFT200925P00205000,"September 25, 2020",16,2020-08-10 10:56AM EDT,31,put,+1.46,205.00,+18.58%
10.30,10.51,10.85,MSFT200925P00207500,"September 25, 2020",6,2020-08-10 10:56AM EDT,30,put,+3.56,207.50,+51.22%
13.55,13.68,13.95,MSFT201120P00200000,"November 20, 2020","2,944",2020-08-10 11:14AM EDT,169,put,+1.47,200.00,+12.04%
15.95,15.84,16.25,MSFT201120P00205000,"November 20, 2020",317,2020-08-10 11:38AM EDT,237,put,+1.54,205.00,+10.77%
18.35,18.05,18.75,MSFT201120P00210000,"November 20, 2020","4,553",2020-08-10 10:02AM EDT,23,put,+1.25,210.00,+7.44%
21.25,21.40,21.60,MSFT201120P00215000,"November 20, 2020",565,2020-08-10 9:37AM EDT,3,put,+2.30,215.00,+12.04%
24.25,24.16,24.75,MSFT201120P00220000,"November 20, 2020","2,070",2020-08-10 11:38AM EDT,230,put,+4.01,220.00,+19.90%
31.05,27.95,31.45,MSFT201120P00230000,"November 20, 2020",323,2020-08-07 3:57PM EDT,4,put,0.00,230.00,-
38.25,35.00,39.30,MSFT201120P00240000,"November 20, 2020",58,2020-08-04 2:29PM EDT,1,put,0.00,240.00,-
46.70,40.80,47.75,MSFT201120P00250000,"November 20, 2020",47,2020-08-06 2:18PM EDT,20,put,0.00,250.00,-
50.95,48.40,52.40,MSFT201120P00260000,"November 20, 2020",5,2020-07-09 10:06AM EDT,2,put,0.00,260.00,-
9.20,9.46,9.40,MSFT201218C00230000,"December 18, 2020","4,751",2020-08-10 11:35AM EDT,47,call,-1.66,230.00,-14.93%
7.65,7.95,8.05,MSFT201218C00235000,"December 18, 2020",82,2020-08-10 9:33AM EDT,4,call,-1.65,235.00,-17.19%
6.60,6.70,6.85,MSFT201218C00240000,"December 18, 2020","2,268",2020-08-10 11:40AM EDT,35,call,-1.65,240.00,-19.76%
5.55,5.80,5.80,MSFT201218C00245000,"December 18, 2020",30,2020-08-10 11:12AM EDT,4,call,-1.15,245.00,-16.55%
4.75,4.90,4.90,MSFT201218C00250000,"December 18, 2020","3,577",2020-08-10 11:46AM EDT,43,call,-1.20,250.00,-19.67%
3.35,3.50,3.55,MSFT201218C00260000,"December 18, 2020","3,549",2020-08-10 11:31AM EDT,75,call,-0.80,260.00,-18.60%
2.43,2.54,2.54,MSFT201218C00270000,"December 18, 2020","2,348",2020-08-10 11:43AM EDT,63,call,-0.66,270.00,-20.63%
1.09,1.10,1.15,MSFT201016P00155000,"October 16, 2020","2,977",2020-08-10 10:43AM EDT,74,put,+0.12,155.00,+12.24%
1.42,1.45,1.52,MSFT201016P00160000,"October 16, 2020","4,942",2020-08-10 11:14AM EDT,51,put,+0.24,160.00,+19.83%
1.84,1.85,1.90,MSFT201016P00165000,"October 16, 2020","2,674",2020-08-10 10:48AM EDT,5,put,+0.31,165.00,+20.13%
2.34,2.38,2.46,MSFT201016P00170000,"October 16, 2020","6,696",2020-08-10 11:40AM EDT,58,put,+0.42,170.00,+21.43%
3.00,3.08,3.15,MSFT201016P00175000,"October 16, 2020","3,320",2020-08-10 11:46AM EDT,32,put,+0.46,175.00,+17.56%
3.85,3.88,4.00,MSFT201016P00180000,"October 16, 2020","4,292",2020-08-10 10:48AM EDT,91,put,+0.68,180.00,+21.25%
4.85,4.89,5.05,MSFT201016P00185000,"October 16, 2020","6,750",2020-08-10 11:25AM EDT,78,put,+0.84,185.00,+20.74%
96.80,102.73,97.70,MSFT200918C00110000,"September 18, 2020",216,2020-08-05 11:45AM EDT,1,call,0.00,110.00,-
91.60,98.30,92.65,MSFT200918C00115000,"September 18, 2020",234,2020-08-06 12:41PM EDT,4,call,0.00,115.00,-
86.70,91.94,87.55,MSFT200918C00120000,"September 18, 2020",696,2020-08-07 2:01PM EDT,2,call,0.00,120.00,-
81.95,88.39,82.80,MSFT200918C00125000,"September 18, 2020",828,2020-08-06 12:45PM EDT,4,call,0.00,125.00,-
76.60,81.34,77.80,MSFT200918C00130000,"September 18, 2020",704,2020-08-07 1:59PM EDT,3,call,0.00,130.00,-
71.80,77.15,72.55,MSFT200918C00135000,"September 18, 2020","1,362",2020-08-07 3:38PM EDT,24,call,0.00,135.00,-
